Mascarpone 3436 g;
Uova 55;
Savoiardi 3343 g;
Zucchero 700 g;
Caffe 4008 g;
Mele 33;
Farina 2733 g;
Burro 4508 g;
Latte 2620 ml;
Limoni 11;
Lievito-in-polvere 2135 g;
Cannella-in-polvere 3737 g;
Sale-fino 4506 g;
Cioccolato-fondente 3679 g;
Cacao-amaro-in-polvere 3751 g;
Fecola-di-patate 2808 g;
Panna-fresca-liquida 3472 g;
Tuorli 51;
Amido-di-mais 3711 g;
Baccello-di-vaniglia 87;
Alchermes 2540 g;
Nocciole-interne-spellate 4049 g;
Zucchero-semolato 3519 g;
Succo-di-limone 4487 ml;
Scorza-di-limone 69;
Zucchero-a-velo 4227 g;
Strutto 3418 g;
Miele-millefiori 3448 g;
Latte-intero 3314 ml;
Scorza-d'arancia 66;
Grano-cotto 4355 g;
Ricotta-di-pecora 2609 g;
Cedro-candito 3683 g;
Gelatina-in-fogli 2104 g;
Fragole 4291 g;
Acqua 3210 ml;
Pasta-sfoglia 73;
Pere-williams 4441 g;
Zucchero-di-canna 2887 g;
Pangrattato 4572 g;
Mandorle-pelate 3349 g;
Zenzero-in-polvere 2697 g;
